session_id,animal_id,local_path,availability,processing_status
BWRat17_121712,BWRat17,F:\CfC-Sleep\crcns-downloader\fcx-1\data\BWRat17_121712,True,audited
BWRat17_121912,BWRat17,F:\CfC-Sleep\crcns-downloader\fcx-1\data\BWRat17_121912,True,audited
BWRat18_020513,BWRat18,F:\CfC-Sleep\crcns-downloader\fcx-1\data\BWRat18_020513,True,audited
BWRat19_032413,BWRat19,F:\CfC-Sleep\crcns-downloader\fcx-1\data\BWRat19_032413,True,audited
BWRat19_032513,BWRat19,F:\CfC-Sleep\crcns-downloader\fcx-1\data\BWRat19_032513,True,audited
BWRat20_101013,BWRat20,F:\CfC-Sleep\crcns-downloader\fcx-1\data\BWRat20_101013,True,audited
BWRat20_101513,BWRat20,F:\CfC-Sleep\crcns-downloader\fcx-1\data\BWRat20_101513,True,audited
BWRat21_121113,BWRat21,F:\CfC-Sleep\crcns-downloader\fcx-1\data\BWRat21_121113,True,audited
BWRat21_121613,BWRat21,F:\CfC-Sleep\crcns-downloader\fcx-1\data\BWRat21_121613,True,audited
BWRat21_121813,BWRat21,F:\CfC-Sleep\crcns-downloader\fcx-1\data\BWRat21_121813,True,audited
Dino_061814_mPFC,Dino,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Dino_061814_mPFC,True,audited
Dino_061914_ACC,Dino,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Dino_061914_ACC,True,audited
Dino_061914_mPFC,Dino,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Dino_061914_mPFC,True,audited
Dino_062014_ACC,Dino,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Dino_062014_ACC,True,audited
Dino_062014_mPFC,Dino,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Dino_062014_mPFC,True,audited
Dino_072114_mPFC,Dino,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Dino_072114_mPFC,True,audited
Dino_072314_mPFC,Dino,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Dino_072314_mPFC,True,audited
Dino_072414_mPFC,Dino,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Dino_072414_mPFC,True,audited
20140526_277um,JennBuzsaki22,F:\CfC-Sleep\crcns-downloader\fcx-1\data\20140526_277um,True,audited
20140527_421um,JennBuzsaki22,F:\CfC-Sleep\crcns-downloader\fcx-1\data\20140527_421um,True,audited
20140528_565um,JennBuzsaki22,F:\CfC-Sleep\crcns-downloader\fcx-1\data\20140528_565um,True,audited
Bogey_012615,Bogey,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Bogey_012615,True,audited
Splinter_020515,Splinter,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Splinter_020515,True,audited
Splinter_020915,Splinter,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Splinter_020915,True,audited
Rizzo_022615,Rizzo,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Rizzo_022615,True,audited
Rizzo_022715,Rizzo,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Rizzo_022715,True,audited
Templeton_032415,Templeton,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Templeton_032415,True,audited
