session_id,raw_recording_file_intervals,zero_duration_row_index_zero_based,previous_row,zero_duration_row,next_row,raw_good_sleep_interval,metadata_nominal_end_s,good_sleep_end_s,xml_acquisition_rate_hz,lfp_sample_rate_hz,eeg_byte_size,channel_count,bytes_per_channel_sample,frame_width_bytes,complete_frame_count,complete_prefix_bytes,remainder_bytes,remainder_less_than_one_frame,complete_frame_duration_s,nonempty_interval_union,nonempty_rows_touch_continuously,probe_frames,tail_localization_statement,mat_acquisition_rate_hz
Dino_061914_ACC,"[[0, 3508.1), [3508.1, 7807.4), [7807.4, 10149.85), [10149.85, 10149.85), [10149.85, 17519.55)]",3,"[[7807.4, 10149.85)]","[[10149.85, 10149.85)]","[[10149.85, 17519.55)]","[[0, 17519.55)]",17519.55,17519.55,20000.0,1250.0,6219440250,142,2,284,21899437,6219440108,142,True,17519.5496,"[[0, 3508.1), [3508.1, 7807.4), [7807.4, 10149.85), [10149.85, 17519.55)]",True,"[{""frame_index"":0,""channel_count"":142,""min_int16"":-5362,""max_int16"":493},{""frame_index"":10949718,""channel_count"":142,""min_int16"":-285,""max_int16"":462},{""frame_index"":21899436,""channel_count"":142,""min_int16"":-766,""max_int16"":395}]","Maximal complete prefix ends at byte complete_prefix_bytes; the remaining bytes are physically the file suffix. Flat int16 has no internal frame markers, so absence of a prior insertion/deletion cannot be proven from this file alone.",20000.0
Dino_061914_mPFC,"[[0, 3508.1), [3508.1, 7807.4), [7807.4, 10149.85), [10149.85, 10149.85), [10149.85, 17519.55)]",3,"[[7807.4, 10149.85)]","[[10149.85, 10149.85)]","[[10149.85, 17519.55)]","[[0, 17519.55)]",17519.55,17519.55,20000.0,1250.0,6219440250,142,2,284,21899437,6219440108,142,True,17519.5496,"[[0, 3508.1), [3508.1, 7807.4), [7807.4, 10149.85), [10149.85, 17519.55)]",True,"[{""frame_index"":0,""channel_count"":142,""min_int16"":-5362,""max_int16"":493},{""frame_index"":10949718,""channel_count"":142,""min_int16"":-285,""max_int16"":462},{""frame_index"":21899436,""channel_count"":142,""min_int16"":-766,""max_int16"":395}]","Maximal complete prefix ends at byte complete_prefix_bytes; the remaining bytes are physically the file suffix. Flat int16 has no internal frame markers, so absence of a prior insertion/deletion cannot be proven from this file alone.",20000.0
