animal_id,session_id,semantic_role,source_field,source_file,raw_value,source_indexing,physical_channel_one_based,numpy_column_zero_based,anatomy_raw,missing,malformed,used_by_m4,shares_physical_channel_with,cross_source_check
BWRat20,BWRat20_101013,theta,Thetachannel,BWRat20_101013_BasicMetaData.mat,25,1-based (official data description),25,24,ACC,False,False,True,,
BWRat20,BWRat20_101013,spindle,Spindlechannel,BWRat20_101013_BasicMetaData.mat,59,1-based (official data description),59,58,ACC,False,False,False,,
BWRat20,BWRat20_101013,up_state,UPstatechannel,BWRat20_101013_BasicMetaData.mat,22,1-based (official data description),22,21,ACC,False,False,False,recommended_lfp,
BWRat20,BWRat20_101013,up_state_detector,UPchannel,BWRat20_101013_UPDOWNINtervals.mat,22,1-based (matches BasicMetaData and detector output),22,21,ACC,False,False,False,,MATCH
BWRat20,BWRat20_101013,spindle_detector,SpindleData.detectionchan,BWRat20_101013_Spindles.mat,59,1-based (matches BasicMetaData and detector output),59,58,ACC,False,False,False,,MATCH
BWRat20,BWRat20_101513,recommended_lfp,goodeegchannel,BWRat20_101513_BasicMetaData.mat,61,1-based (official data description),61,60,ACC,False,False,True,spindle|up_state,
BWRat20,BWRat20_101513,theta,Thetachannel,BWRat20_101513_BasicMetaData.mat,22,1-based (official data description),22,21,ACC,False,False,True,,
BWRat20,BWRat20_101513,spindle,Spindlechannel,BWRat20_101513_BasicMetaData.mat,61,1-based (official data description),61,60,ACC,False,False,False,recommended_lfp|up_state,
BWRat20,BWRat20_101513,up_state,UPstatechannel,BWRat20_101513_BasicMetaData.mat,61,1-based (official data description),61,60,ACC,False,False,False,recommended_lfp|spindle,
BWRat20,BWRat20_101513,up_state_detector,UPchannel,BWRat20_101513_UPDOWNINtervals.mat,61,1-based (matches BasicMetaData and detector output),61,60,ACC,False,False,False,,MATCH
BWRat20,BWRat20_101513,spindle_detector,SpindleData.detectionchan,BWRat20_101513_Spindles.mat,61,1-based (matches BasicMetaData and detector output),61,60,ACC,False,False,False,,MATCH
BWRat21,BWRat21_121113,recommended_lfp,goodeegchannel,BWRat21_121113_BasicMetaData.mat,14,1-based (official data description),14,13,mPFC,False,False,True,up_state,
BWRat21,BWRat21_121113,theta,Thetachannel,BWRat21_121113_BasicMetaData.mat,60,1-based (official data description),60,59,,False,False,True,,
BWRat21,BWRat21_121113,spindle,Spindlechannel,BWRat21_121113_BasicMetaData.mat,7,1-based (official data description),7,6,mPFC,False,False,False,,
BWRat21,BWRat21_121113,up_state,UPstatechannel,BWRat21_121113_BasicMetaData.mat,14,1-based (official data description),14,13,mPFC,False,False,False,recommended_lfp,
BWRat21,BWRat21_121113,up_state_detector,UPchannel,BWRat21_121113_UPDOWNINtervals.mat,14,1-based (matches BasicMetaData and detector output),14,13,mPFC,False,False,False,,MATCH
BWRat21,BWRat21_121113,spindle_detector,SpindleData.detectionchan,BWRat21_121113_Spindles.mat,7,1-based (matches BasicMetaData and detector output),7,6,mPFC,False,False,False,,MATCH
BWRat21,BWRat21_121613,recommended_lfp,goodeegchannel,BWRat21_121613_BasicMetaData.mat,22,1-based (official data description),22,21,mPFC,False,False,True,up_state,
BWRat21,BWRat21_121613,theta,Thetachannel,BWRat21_121613_BasicMetaData.mat,55,1-based (official data description),55,54,mPFC,False,False,True,,
BWRat21,BWRat21_121613,spindle,Spindlechannel,BWRat21_121613_BasicMetaData.mat,12,1-based (official data description),12,11,mPFC,False,False,False,,
BWRat21,BWRat21_121613,up_state,UPstatechannel,BWRat21_121613_BasicMetaData.mat,22,1-based (official data description),22,21,mPFC,False,False,False,recommended_lfp,
BWRat21,BWRat21_121613,up_state_detector,UPchannel,BWRat21_121613_UPDOWNINtervals.mat,22,1-based (matches BasicMetaData and detector output),22,21,mPFC,False,False,False,,MATCH
BWRat21,BWRat21_121613,spindle_detector,SpindleData.detectionchan,BWRat21_121613_Spindles.mat,12,1-based (matches BasicMetaData and detector output),12,11,mPFC,False,False,False,,MATCH
BWRat21,BWRat21_121813,recommended_lfp,goodeegchannel,BWRat21_121813_BasicMetaData.mat,22,1-based (official data description),22,21,mPFC,False,False,True,up_state,
BWRat21,BWRat21_121813,theta,Thetachannel,BWRat21_121813_BasicMetaData.mat,55,1-based (official data description),55,54,mPFC,False,False,True,,
BWRat21,BWRat21_121813,spindle,Spindlechannel,BWRat21_121813_BasicMetaData.mat,12,1-based (official data description),12,11,mPFC,False,False,False,,
BWRat21,BWRat21_121813,up_state,UPstatechannel,BWRat21_121813_BasicMetaData.mat,22,1-based (official data description),22,21,mPFC,False,False,False,recommended_lfp,
BWRat21,BWRat21_121813,up_state_detector,UPchannel,BWRat21_121813_UPDOWNINtervals.mat,22,1-based (matches BasicMetaData and detector output),22,21,mPFC,False,False,False,,MATCH
BWRat21,BWRat21_121813,spindle_detector,SpindleData.detectionchan,BWRat21_121813_Spindles.mat,12,1-based (matches BasicMetaData and detector output),12,11,mPFC,False,False,False,,MATCH
BWRat21,BWRat21_121813,theta_alternate_plural,Thetachannels,BWRat21_121813_BasicMetaData.mat,57,apparently 1-based; not documented explicitly,57,56,mPFC,False,False,False,,alternate field; not canonical
Dino,Dino_061814_mPFC,recommended_lfp,goodeegchannel,Dino_061814_mPFC_BasicMetaData.mat,69,1-based (official data description),69,68,mPFC,False,False,True,up_state,
Dino,Dino_061814_mPFC,theta,Thetachannel,Dino_061814_mPFC_BasicMetaData.mat,7,1-based (official data description),7,6,ACC,False,False,True,,
Dino,Dino_061814_mPFC,spindle,Spindlechannel,Dino_061814_mPFC_BasicMetaData.mat,92,1-based (official data description),92,91,mPFC,False,False,False,,
Dino,Dino_061814_mPFC,up_state,UPstatechannel,Dino_061814_mPFC_BasicMetaData.mat,69,1-based (official data description),69,68,mPFC,False,False,False,recommended_lfp,
Dino,Dino_061814_mPFC,up_state_detector,UPchannel,Dino_061814_mPFC_UPDOWNINtervals.mat,69,1-based (matches BasicMetaData and detector output),69,68,mPFC,False,False,False,,MATCH
Dino,Dino_061814_mPFC,spindle_detector,SpindleData.detectionchan,Dino_061814_mPFC_Spindles.mat,92,1-based (matches BasicMetaData and detector output),92,91,mPFC,False,False,False,,MATCH
Dino,Dino_061914_ACC,recommended_lfp,goodeegchannel,Dino_061914_ACC_BasicMetaData.mat,19,1-based (official data description),19,18,ACC,False,False,True,spindle|up_state,
Dino,Dino_061914_ACC,theta,Thetachannel,Dino_061914_ACC_BasicMetaData.mat,129,1-based (official data description),129,128,,False,False,True,,
Dino,Dino_061914_ACC,spindle,Spindlechannel,Dino_061914_ACC_BasicMetaData.mat,19,1-based (official data description),19,18,ACC,False,False,False,recommended_lfp|up_state,
Dino,Dino_061914_ACC,up_state,UPstatechannel,Dino_061914_ACC_BasicMetaData.mat,19,1-based (official data description),19,18,ACC,False,False,False,recommended_lfp|spindle,
Dino,Dino_061914_ACC,up_state_detector,UPchannel,Dino_061914_ACC_UPDOWNINtervals.mat,19,1-based (matches BasicMetaData and detector output),19,18,ACC,False,False,False,,MATCH
Dino,Dino_061914_ACC,spindle_detector,SpindleData.detectionchan,Dino_061914_ACC_Spindles.mat,19,1-based (matches BasicMetaData and detector output),19,18,ACC,False,False,False,,MATCH
Dino,Dino_061914_mPFC,recommended_lfp,goodeegchannel,Dino_061914_mPFC_BasicMetaData.mat,83,1-based (official data description),83,82,mPFC,False,False,True,spindle|up_state,
Dino,Dino_061914_mPFC,theta,Thetachannel,Dino_061914_mPFC_BasicMetaData.mat,129,1-based (official data description),129,128,,False,False,True,,
Dino,Dino_061914_mPFC,spindle,Spindlechannel,Dino_061914_mPFC_BasicMetaData.mat,83,1-based (official data description),83,82,mPFC,False,False,False,recommended_lfp|up_state,
Dino,Dino_061914_mPFC,up_state,UPstatechannel,Dino_061914_mPFC_BasicMetaData.mat,83,1-based (official data description),83,82,mPFC,False,False,False,recommended_lfp|spindle,
Dino,Dino_061914_mPFC,up_state_detector,UPchannel,Dino_061914_mPFC_UPDOWNINtervals.mat,83,1-based (matches BasicMetaData and detector output),83,82,mPFC,False,False,False,,MATCH
Dino,Dino_061914_mPFC,spindle_detector,SpindleData.detectionchan,Dino_061914_mPFC_Spindles.mat,83,1-based (matches BasicMetaData and detector output),83,82,mPFC,False,False,False,,MATCH
